id,nome,localidade,frequencia
1,silva,0,34030104
2,silva,12,230212
3,silva,27,1118138
4,silva,13,740534
5,silva,16,125176
6,silva,29,2487204
7,silva,23,1692868
8,silva,53,390958
9,silva,32,449433
10,silva,52,1200731
11,silva,21,1581757
12,silva,31,3162886
13,silva,50,400162
14,silva,51,651323
15,silva,15,1593312
16,silva,25,1120148
17,silva,26,3100715
18,silva,22,771651
19,silva,41,1136394
20,silva,33,2515895
21,silva,11,256795
22,silva,24,919522
23,silva,14,125828
24,silva,43,1140167
25,silva,42,613075
26,silva,28,288151
27,silva,35,5928587
28,silva,17,288482
29,santos,0,21367475
30,santos,12,56143
31,santos,27,811796
32,santos,13,341063
33,santos,16,99848
34,santos,29,3723348
35,santos,23,608963
36,santos,53,232092
37,santos,32,357834
38,santos,52,616354
39,santos,21,852096
40,santos,31,1726601
41,santos,50,225446
42,santos,51,313816
43,santos,15,903292
44,santos,25,438111
45,santos,26,909604
46,santos,22,358006
47,santos,41,907061
48,santos,33,1303668
49,santos,11,139925
50,santos,24,220180
51,santos,14,43074
52,santos,43,691111
53,santos,42,408007
54,santos,28,958602
55,santos,35,3974662
56,santos,17,146772
57,oliveira,0,11708947
58,oliveira,12,70120
59,oliveira,27,163567
60,oliveira,13,239696
61,oliveira,16,36133
62,oliveira,29,1143304
63,oliveira,23,551721
64,oliveira,53,166287
65,oliveira,32,220029
66,oliveira,52,453212
67,oliveira,21,346519
68,oliveira,31,1435182
69,oliveira,50,157414
70,oliveira,51,216902
71,oliveira,15,435685
72,oliveira,25,233200
73,oliveira,26,419775
74,oliveira,22,206987
75,oliveira,41,555029
76,oliveira,33,925894
77,oliveira,11,109528
78,oliveira,24,239898
79,oliveira,14,32496
80,oliveira,43,456119
81,oliveira,42,254207
82,oliveira,28,156613
83,oliveira,35,2400964
84,oliveira,17,82466
85,souza,0,9197158
86,souza,12,86445
87,souza,27,87408
88,souza,13,350692
89,souza,16,42268
90,souza,29,1186561
91,souza,23,199724
92,souza,53,111593
93,souza,32,206369
94,souza,52,310248
95,souza,21,70197
96,souza,31,1163790
97,souza,50,156723
98,souza,51,200622
99,souza,15,342753
100,souza,25,139634
101,souza,26,390135
102,souza,22,28710
103,souza,41,405835
104,souza,33,864197
105,souza,11,102355
106,souza,24,163129
107,souza,14,36779
108,souza,43,279847
109,souza,42,253243
110,souza,28,110159
111,souza,35,1863078
112,souza,17,44664
113,pereira,0,6888212
114,pereira,12,22583
115,pereira,27,78844
116,pereira,13,121065
117,pereira,16,18617
118,pereira,29,561547
119,pereira,23,329367
120,pereira,53,117568
121,pereira,32,140715
122,pereira,52,331855
123,pereira,21,367464
124,pereira,31,932125
125,pereira,50,95308
126,pereira,51,128014
127,pereira,15,272632
128,pereira,25,181950
129,pereira,26,275133
130,pereira,22,190750
131,pereira,41,275603
132,pereira,33,463664
133,pereira,11,55490
134,pereira,24,100091
135,pereira,14,25012
136,pereira,43,224097
137,pereira,42,167954
138,pereira,28,43379
139,pereira,35,1253492
140,pereira,17,113893
141,ferreira,0,6226228
142,ferreira,12,29619
143,ferreira,27,125716
144,ferreira,13,123980
145,ferreira,16,33022
146,ferreira,29,419806
147,ferreira,23,341360
148,ferreira,53,92685
149,ferreira,32,114309
150,ferreira,52,281108
151,ferreira,21,246977
152,ferreira,31,887346
153,ferreira,50,87053
154,ferreira,51,112016
155,ferreira,15,303632
156,ferreira,25,154075
157,ferreira,26,339666
158,ferreira,22,117217
159,ferreira,41,279161
160,ferreira,33,466549
161,ferreira,11,51266
162,ferreira,24,97263
163,ferreira,14,14286
164,ferreira,43,157591
165,ferreira,42,102016
166,ferreira,28,45269
167,ferreira,35,1140713
168,ferreira,17,62527
169,lima,0,6094630
170,lima,12,66408
171,lima,27,163764
172,lima,13,180404
173,lima,16,21499
174,lima,29,465072
175,lima,23,536012
176,lima,53,89728
177,lima,32,60400
178,lima,52,186756
179,lima,21,292324
180,lima,31,373732
181,lima,50,67391
182,lima,51,89396
183,lima,15,307000
184,lima,25,217106
185,lima,26,473303
186,lima,22,142579
187,lima,41,266381
188,lima,33,360389
189,lima,11,48493
190,lima,24,190764
191,lima,14,27124
192,lima,43,166778
193,lima,42,108563
194,lima,28,87154
195,lima,35,1050907
196,lima,17,55203
197,alves,0,5756825
198,alves,12,17925
199,alves,27,94108
200,alves,13,70917
201,alves,16,12380
202,alves,29,441615
203,alves,23,370276
204,alves,53,112202
205,alves,32,96911
206,alves,52,328362
207,alves,21,210753
208,alves,31,764476
209,alves,50,73452
210,alves,51,107746
211,alves,15,183662
212,alves,25,157592
213,alves,26,286529
214,alves,22,155216
215,alves,41,234891
216,alves,33,359159
217,alves,11,48789
218,alves,24,96440
219,alves,14,14707
220,alves,43,140023
221,alves,42,116439
222,alves,28,77798
223,alves,35,1092561
224,alves,17,91896
225,rodrigues,0,5428540
226,rodrigues,12,22987
227,rodrigues,27,52479
228,rodrigues,13,108137
229,rodrigues,16,21937
230,rodrigues,29,256174
231,rodrigues,23,344695
232,rodrigues,53,101290
233,rodrigues,32,102346
234,rodrigues,52,285606
235,rodrigues,21,214705
236,rodrigues,31,724735
237,rodrigues,50,85943
238,rodrigues,51,111189
239,rodrigues,15,241036
240,rodrigues,25,91222
241,rodrigues,26,176645
242,rodrigues,22,150327
243,rodrigues,41,245701
244,rodrigues,33,363571
245,rodrigues,11,48409
246,rodrigues,24,59293
247,rodrigues,14,18005
248,rodrigues,43,294945
249,rodrigues,42,121497
250,rodrigues,28,36899
251,rodrigues,35,1070933
252,rodrigues,17,77834
253,costa,0,4861083
254,costa,12,36386
255,costa,27,55514
256,costa,13,150654
257,costa,16,40326
258,costa,29,324806
259,costa,23,280277
260,costa,53,76969
261,costa,32,79055
262,costa,52,189987
263,costa,21,384311
264,costa,31,524390
265,costa,50,46820
266,costa,51,92378
267,costa,15,380471
268,costa,25,119122
269,costa,26,137574
270,costa,22,139690
271,costa,41,151510
272,costa,33,400425
273,costa,11,37783
274,costa,24,137685
275,costa,14,19114
276,costa,43,153052
277,costa,42,95279
278,costa,28,45995
279,costa,35,710812
280,costa,17,50698
281,sousa,0,4797390
282,sousa,12,16764
283,sousa,27,11938
284,sousa,13,43892
285,sousa,16,19527
286,sousa,29,226892
287,sousa,23,805536
288,sousa,53,122823
289,sousa,32,28627
290,sousa,52,282397
291,sousa,21,733056
292,sousa,31,280948
293,sousa,50,14854
294,sousa,51,60204
295,sousa,15,464776
296,sousa,25,159463
297,sousa,26,95065
298,sousa,22,497628
299,sousa,41,43113
300,sousa,33,130275
301,sousa,11,21620
302,sousa,24,47191
303,sousa,14,27130
304,sousa,43,25712
305,sousa,42,31499
306,sousa,28,12545
307,sousa,35,465541
308,sousa,17,128374
309,gomes,0,4046634
310,gomes,12,21181
311,gomes,27,80572
312,gomes,13,98206
313,gomes,16,18087
314,gomes,29,242536
315,gomes,23,269254
316,gomes,53,67317
317,gomes,32,88670
