cod,nome,uf,pop_local
0,Brasil,BR,203080756
11,Rondônia,RO,1581196
12,Acre,AC,830018
13,Amazonas,AM,3941613
14,Roraima,RR,636707
15,Pará,PA,8120131
16,Amapá,AP,733759
17,Tocantins,TO,1511460
21,Maranhão,MA,6776699
22,Piauí,PI,3271199
23,Ceará,CE,8794957
24,Rio Grande do Norte,RN,3302729
25,Paraíba,PB,3974687
26,Pernambuco,PE,9058931
27,Alagoas,AL,3127683
28,Sergipe,SE,2210004
29,Bahia,BA,14141626
31,Minas Gerais,MG,20539989
32,Espírito Santo,ES,3833712
33,Rio de Janeiro,RJ,16055174
35,São Paulo,SP,44411238
41,Paraná,PR,11444380
42,Santa Catarina,SC,7610361
43,Rio Grande do Sul,RS,10882965
50,Mato Grosso do Sul,MS,2757013
51,Mato Grosso,MT,3658649
52,Goiás,GO,7056495
53,Distrito Federal,DF,2817381
